SKU,Description,Actual Location,Location Type Name,Status,In Fixed Locations,In Inventory Locations
ASM4022_634_69031-LF,NXT WS MK4I CB CONNECT C1 PCA,E0902,Legbord,filled,Yes,Yes
ASM4022_634_69051-LF,NXT WS MK4I CB CONNECT C2 PCA,E0802,Legbord,filled,Yes,Yes
ASM4022_634_79361-LF,PAAC 550/25/5 ASSY,HZKH,,,Yes,Yes
ASM4022_634_86471-LF,NXT WS MK5I CB CONNECT C2 PCA,HZKH,,,Yes,Yes
ASM4022_634_88391-M40,ARTIC GENERIC HOST BRD PCA,F1501,Pallet,filled,Yes,Yes
ASM4022_634_89402-LF,EXE WS MODULE RACK BP PCA,E0304,Legbord,filled,Yes,Yes
ASM4022_636_28492-LF,MSMR-MECA EMC TOP COVER,F0704,Legbord,filled,Yes,Yes
ASM4022_636_28501-LF,MSMR-MECA EMC BOTTOM COVER,F0704,Legbord,filled,Yes,Yes
ASM4022_636_31621-LF,SHB MDRC TOP COVER ASSY,I1501,Pallet,filled,Yes,Yes
ASM4022_636_33291-LF,MDRC SHB MNTNG PLATE LEFT,HZKH,,,Yes,Yes
ASM4022_636_65421-LF,2D INTERFACE BOTTOM,E1603,Legbord,filled,Yes,Yes
ASM4022_636_65791-LF,MDRC CBB MECH,EZKE,,,Yes,Yes
ASM4022_636_85861-LF,MSMR-MECA FRONT PLATE ASSY,F0804,Legbord,filled,Yes,Yes
ASM4022_636_87272-LF,RH CONTROL RACK SUB ASSY,HZKH,,,Yes,Yes
ASM4022_636_87822-LF,RH SMCB RAIL SUPPORT,F0602,Pallet,filled,Yes,Yes
ASM4022_636_88282-LF,WH NXE VRPR COVER PLATE,EZKE,,,Yes,Yes
ASM4022_636_98632-LF,ILSB4 BOX,H0302,Pallet,filled,Yes,Yes
ASM4022_640_25942-LF,WH NXE MPAC BRKBOX BOX1,E0602,Legbord,filled,Yes,Yes
ASM4022_640_27022-LF,RH SMCB FRONT PLATE,F0702,Legbord,filled,Yes,Yes
ASM4022_640_27031-LF,RH SMCB BACK PLATE,F0002,Legbord,filled,Yes,Yes
ASM4022_640_27042-LF,RH SMCB COVER PLATE TOP,F0801,Pallet,filled,Yes,Yes
ASM4022_640_27052-LF,RH SMCB COVER PLATE BOTTOM,F1601,Pallet,filled,Yes,Yes
ASM4022_640_30641-LF,HIPA COVER WELD ASSY,D0301,Pallet,filled,Yes,Yes
ASM4022_640_48841-LF,BLIND PANEL 1HE/126TE,F0904,Legbord,filled,Yes,Yes
ASM4022_640_49071-LF,BLIND PANEL 4HE/126TE,F0904,Legbord,filled,Yes,Yes
ASM4022_640_60571-LF,MDRC TOP CB COVER,F1002,Legbord,filled,Yes,Yes
ASM4022_640_82613-LF,NXE3350_EU-MAINS CONN BOX TOP,HZKH,,,Yes,Yes
ASM4022_640_82622-LF,NXE3350_EU-MAINS CONN BOX MID,HZKH,,,Yes,Yes
ASM4022_640_82632-LF,NXE3350_EU-MAINS CONN BOX BOT,EZKE,,,Yes,Yes
ASM4022_640_89302-LF,MDRC BACK PLATE MECH ASSY,EZKE,,,Yes,Yes
ASM4022_640_89451-LF,MDRC BOTTOM PLATE,HZKH,,,Yes,Yes
ASM4022_640_89503-LF,MDRC OP. INTERF. PANEL,D1402,Legbord,filled,Yes,Yes
ASM4022_640_90731-LF,MDRC TOP CBB MNT PLATE,G0502,Legbord,filled,Yes,Yes
ASM4022_640_90741-LF,MDRC TOP CB COVER 2,J0402,Legbord,filled,Yes,Yes
ASM4022_640_90752-LF,MDRC TOP CB COVER 1,J0502,Legbord,filled,Yes,Yes
ASM4022_640_91181-LF,MDRC OP. INTERF. PANEL COVER,D1502,Legbord,filled,Yes,Yes
ASM4022_640_94492-LF,TFDB BOX,EZKE,,,Yes,Yes
ASM4022_640_94501-LF,TFDB COVER,E0801,Pallet,filled,Yes,Yes
ASM4022_640_94671-LF,MDRC BOTTOM PLATE COVER,E1105,Legbord,filled,Yes,Yes
ASM4022_645_13052-LF,SHB-MDRC-PLC-MK3.1 TA,HZKH,,,Yes,Yes
ASM4022_645_58391-P,SERVICE INT UNIT TA,G1004,Pallet,filled,Yes,Yes
ASM4022_645_58661-LF,BLISTER PACKAGING 6HE 4-8TE,EZKE,,,Yes,Yes
ASM4022_645_66411-LF,MDRC NXT3 CLEAN ASSY,K0402,Legbord,filled,Yes,Yes
ASM4022_645_73832-LF,DCDB TRANSPORT ASSY,HZKH,,,Yes,Yes
ASM4022_646_00941-LF,MDRC FRONT COVER PLATE MIDDLE,F1605,Legbord,filled,Yes,Yes
ASM4022_646_12831-LF,MDRC BOTTOM PLATE COVER,LZKL,,,Yes,Yes
ASM4022_646_17191-LF,DGLB BASE,E1001,Pallet,filled,Yes,Yes
ASM4022_646_17201-LF,DGLB COVER,E0702,Legbord,filled,Yes,Yes
ASM4022_646_17711-LF,SHB-BR BOX ASSY,F0402,Legbord,filled,Yes,Yes
ASM4022_646_18091-LF,SHB-BR COVER ASSY,F0502,Legbord,filled,Yes,Yes
ASM4022_646_18721-LF,MMEB FRONT INTERFACE MONO,G2001,Pallet,filled,Yes,Yes
ASM4022_646_21031-LF,SIU-COVER,F1102,Legbord,filled,Yes,Yes
ASM4022_646_22271-LF,SIU-BOX-ASSY,F1202,Legbord,filled,Yes,Yes
ASM4022_646_37241-LF,MON/KEYB DRAWER 19IN MK2 MONO,F1201,Pallet,filled,Yes,Yes
ASM4022_646_75511-LF,HIPA MKII BOTTOM PLATE,D0302,Legbord,filled,Yes,Yes
ASM4022_646_78723-P,NXT3_MDRC CBB ASSY,HZKH,,,Yes,Yes
ASM4022_646_78922-LF,MDRC CONNECTOR PLATE MONO,EZKE,,,Yes,Yes
ASM4022_646_79032-LF,MDRC BACK PLATE MECH ASSY,EZKE,,,Yes,Yes
ASM4022_646_80353-LF,MDRC CBT MECH,I1602,Legbord,filled,Yes,Yes
ASM4022_646_81881-LF,WTC NXE CTRL BRACKET,F0701,Pallet,filled,Yes,Yes
ASM4022_646_83382-LF,DCDB CONNECTORPLATE,G1201,Pallet,filled,Yes,Yes
ASM4022_646_98702-LF,MDRC CONN PLATE,EZKE,,,Yes,Yes
ASM4022_651_83902-LF,NXT WS MK4I R-PCA TOOL ASSY,E1803,Legbord,filled,Yes,Yes
ASM4022_654_02681-LF,MDRC OPERATING INTERFACE PANEL,HZKH,,,Yes,Yes
ASM4022_654_15081-LF,MDRC SHB FAN PLATE,LZKL,,,Yes,Yes
ASM4022_654_46671-LF,WTC NXE CTRL BOX,D0602,Legbord,filled,Yes,Yes
ASM4022_654_72652-LF,SR GV REMOTE CTRL BOX,F1402,Legbord,filled,Yes,Yes
ASM4022_654_72661-LF,SR GV REMOTE CTRL COVER,F1502,Legbord,filled,Yes,Yes
ASM4022_654_73002-LF,COMPUTER SYSTEMS SERVICE ASSY,LZKL,,,Yes,Yes
ASM4022_654_93431-LF,SHB-EIM-BOX-ASSY,F0503,Legbord,filled,Yes,Yes
ASM4022_654_95932-LF,TCMA TOP PLATE,HZKH,,,Yes,Yes
ASM4022_654_95952-LF,TCMA BOTTOM PLATE,G0801,Pallet,filled,Yes,Yes
ASM4022_658_23512-LF,POWER DISTR UNIT S3 CLEAN ASSY,K0301,Pallet,filled,Yes,Yes
ASM4022_658_31251-LF,NXE SR CONPEARL BOX 800X600 TA,LZKL,,,Yes,Yes
ASM4022_658_31261-LF,NXE SR CONPEARL BOX 800X600 CA,J0702,Legbord,filled,Yes,Yes
ASM4022_658_54981-LF,STD CLEAN RAKO 600X400X233,HZKH,,,Yes,Yes
ASM4022_658_58531-LF,STD CARDB BOX 605X405X240-MD,LZKL,,,Yes,Yes
ASM4022_658_58561-LF,STD CARDB BOX 810X610X240-MD,LZKL,,,Yes,No
ASM4022_658_59151-LF,STD LDPE FLAT BAG 900X1150,K0402,Legbord,filled,Yes,Yes
ASM4022_658_59191-LF,SHIELD BAG 390X490 (B) TAPED,K0803,Pallet,empty,Yes,Yes
ASM4022_658_59861-LF,CARDB BOX 717X517X365,LZKL,,,Yes,Yes
ASM4022_658_61061-LF,STD PALLET BOX SMALL LOW (KL),HZKH,,,Yes,Yes
ASM4022_658_61161-LF,PAPERBOX CUSHION LIGHTWEIGHT,J0702,Legbord,filled,Yes,No
ASM4022_658_61901-LF,COLA TOOL SET TA,HZKH,,,Yes,Yes
ASM4022_658_62011-LF,STD PABOX LL,HZKH,,,Yes,Yes
ASM4022_658_62101-LF,STD PALLET BOX SMALL HIGH (KH),G0903,Legbord,filled,Yes,Yes
ASM4022_658_62121-LF,STD PALLET BOX MED. HIGH (LH),LZKL,,,Yes,Yes
ASM4022_658_62141-LF,BOTTOM SHEET (PE) 950X800 FT,LZKL,,,Yes,Yes
ASM4022_658_62151-LF,BOTTOM SHEET (PE) 1350X1000 FT,E0001,Pallet,filled,Yes,Yes
ASM4022_658_62181-LF,STD CLEAN RAKO 800X600X233,HZKH,,,Yes,Yes
ASM4022_658_67591-LF,LDPE 1100X700X450 (LL),D0702,Legbord,filled,Yes,Yes
ASM4022_658_76501-LF,STD CARDB BOX (E-XL),EZKE,,,Yes,Yes
ASM4022_658_76511-LF,STD CARDB FIX (E-XL),EZKE,,,Yes,Yes
ASM4022_664_13031-LF,MDRC FRONT COVER PLATE BOTTOM,I2001,Pallet,filled,Yes,Yes
ASM4022_664_33471-LF,SHB-MD TOP COVER ASSY,HZKH,,,Yes,Yes
ASM4022_664_78543-LF,NXT WS MK5I CONN PCA TOOL ASSY,EZKE,,,Yes,Yes
ASM4022_668_02663-P,NXE MDRC CBT ASSY,LZKL,,,Yes,Yes
ASM4022_668_03012-LF,MDRC CBTA FRONT PLATE ASSY,F0204,Legbord,filled,Yes,Yes
ASM4022_668_09232-LF,PORTSERVER TS 16-PORT MEI,HZKH,,,Yes,Yes
ASM4022_668_20902-P,PDU MK2.1 SRC GENERIC ASSY,EZKE,,,Yes,Yes
ASM4022_668_29531-LF,NXE LA DL WLSU BOX,HZKH,,,Yes,Yes
ASM4022_668_49031-LF,NXE FF HGSB FRONT,F1303,Legbord,filled,Yes,Yes
ASM4022_668_49874-LF,DEIB REAR PANEL,D0403,Legbord,filled,Yes,Yes
ASM4022_668_49903-LF,DEIB BOTTOM PLATE,D0703,Legbord,filled,Yes,Yes
ASM4022_668_49913-LF,DEIB TOP,D0703,Legbord,filled,Yes,Yes
ASM4022_668_69031-LF,KVM DRAWER MK2 SUBASSY,EZKE,,,Yes,Yes
ASM4022_668_74682-LF,SR FT REMOTE I/O COVER,F0603,Legbord,filled,Yes,Yes
ASM4022_668_74691-LF,SR FT REMOTE I/O BOX,F0703,Legbord,filled,Yes,Yes
ASM4022_668_80552-LF,MDSU TOP COVER WLDA,EZKE,,,Yes,Yes
ASM4022_668_80562-LF,MDSU BOTTOM COVER WLDA,EZKE,,,Yes,Yes
ASM4022_671_02951-LF,MOU MK2 DX1 ASSY,HZKH,,,Yes,Yes
ASM4022_671_23222-LF,TCMA ADDITIONAL HEATSINK PLATE,F1001,Pallet,filled,Yes,Yes
ASM4022_671_87112-LF,WH PAS WHR ETHERNET BOX ASSY,A0903,Pallet,filled,Yes,Yes
ASM4022_671_89611-LF,NXE SR TFDB MECH RACK,LZKL,,,Yes,Yes
ASM4022_671_98702-LF,NXE SR TFDB BRACKET ASSY,LZKL,,,Yes,Yes
ASM4022_673_84912-LF,DC SUB ASSY PCB FRAME,HZKH,,,Yes,Yes
ASM4022_677_24795-P,PDU PANEL1 WIRE SET,EZKE,,,Yes,Yes
ASM4022_677_24811-P,PDU CP2 WIRE SET,F0202,Legbord,filled,Yes,Yes
ASM4022_677_24832-P,PDU MK2.3 PANEL2 WIRE SET,F0002,Legbord,filled,Yes,Yes
ASM4022_677_24852-P,WIRE LIST_PDU CP3 WIRE SET,F0302,Legbord,filled,Yes,Yes
ASM4022_677_24871-P,WIRE SET PDU MK2.3 PANEL3,F0202,Legbord,filled,Yes,Yes
ASM4022_677_25082-P,PDU MK2.3 PANEL4 WIRE SET,D1002,Legbord,filled,Yes,Yes
ASM4022_677_25113-LF,PDU MECH FRAME,EZKE,,,Yes,Yes
ASM4022_677_25151-P,WIRE SET PDU MK2.1,G0503,Legbord,filled,Yes,Yes
ASM4022_677_26242-LF,RACK MOUNT SERVER X86 MK1,LZKL,,,Yes,Yes
ASM4022_677_33031-LF,ILL GUIDE RAIL SUPPORT,F1204,Legbord,filled,Yes,Yes
ASM4022_677_44512-LF,PDU PANEL1 HMI MECH SET,EZKE,,,Yes,Yes
ASM4022_677_44523-LF,PDU PANEL1 MECH SET,EZKE,,,Yes,Yes
ASM4022_677_47613-LF,PDU FEEDER CONTROL MECH ASSY,HZKH,,,Yes,Yes
ASM4022_677_47632-LF,PDU CP1 PLATE ASSY,EZKE,,,Yes,Yes
ASM4022_677_48054-LF,EXE SH SSHB1,EZKE,,,Yes,Yes
ASM4022_677_61781-LF,PDU PANEL2 MECH ASSY,EZKE,,,Yes,Yes
ASM4022_677_61792-LF,PDU CP2 PLATE,E1505,Legbord,filled,Yes,Yes
ASM4022_677_61962-LF,PDU CP3 PLATE,E1605,Legbord,filled,Yes,Yes
ASM4022_677_61972-LF,PDU CP4 PLATE,E1705,Legbord,filled,Yes,Yes
ASM4022_677_61981-LF,PDU BASEMENT PLATE MECH SET,E1305,Legbord,filled,Yes,Yes
ASM4022_677_63001-LF,HEX SF 900MM,EZKE,,,Yes,Yes
ASM4022_677_81082-LF,IL FRONT PLATE-1 ASSY,F1304,Legbord,filled,Yes,Yes
ASM4022_677_81111-LF,IL BACK PLATE ASSY,F1304,Legbord,filled,Yes,Yes
ASM4022_677_84351-LF,PDU PANEL3 MECH ASSY,EZKE,,,Yes,Yes
ASM4022_677_85321-LF,VS EXE RRIB COVER PANEL ASSY,G1802,Legbord,filled,Yes,Yes
ASM4022_679_11073-LF,EXE EL BOFC OICC TA,EZKE,,,Yes,Yes
ASM4022_679_42581-LF,NXE S3MV TFDB TA,EZKE,,,Yes,Yes
ASM4022_679_42591-LF,CLEAN ASSY EXE EL CCFC1+2,E1301,Pallet,filled,Yes,Yes
ASM4022_679_43881-LF,NXE S3MV TFDB SA,EZKE,,,Yes,Yes
ASM4022_682_04422-V91,SIOB5 MK2 GBSL PPCA,HZKH,,,Yes,Yes
ASM4022_682_04441-V91,SIOB5 MK2 SSRL PPCA,EZKE,,,Yes,Yes
ASM4022_682_15832-P,FFCR BP PCA,G1802,Legbord,filled,Yes,Yes
ASM4022_682_25201-LF,SIX AXIS PWR AMP3.1(SAPA) PPCA,F1701,Pallet,filled,Yes,Yes
ASM4022_682_43151-LF,EXE WS BM2BF MOT X INT PCA,H0902,Legbord,empty,Yes,Yes
ASM4022_682_55301-LF,NXT WS MK6 CB CONNECT C2 PCA,H0202,Pallet,filled,Yes,Yes
ASM4022_685_13673-LF,DCUR TOP COVER PLATE,F1903,Legbord,filled,Yes,Yes
ASM4022_685_22093-LF,EXE EL OICC ECHAIN ASSY,EZKE,,,Yes,Yes
ASM4022_685_25431-LF,MSMR-MECA CONNECTOR PLATE,F0804,Legbord,filled,Yes,Yes
ASM4022_685_71035-LF,SHB MDRC BOX ASSY,HZKH,,,Yes,Yes
ASM4022_685_71062-LF,SHB MDRC TOP COVER ASSY,HZKH,,,Yes,Yes
ASM4022_685_71063-LF,SHB MDRC TOP COVER ASSY,HZKH,,,Yes,Yes
ASM4022_685_73691-LF,MD BTM PLT WLD ASSY,D1103,Legbord,filled,Yes,Yes
ASM4022_685_73711-LF,MD TOP PLT WLD ASSY,D1203,Legbord,filled,Yes,Yes
ASM4022_685_83283-LF,IL MIRROR HEATING CONTROL RACK,HZKH,,,Yes,Yes
ASM4022_690_09851-LF,DY ETHERCAT SM HOUSING ASSY,H0901,Pallet,filled,Yes,Yes
ASM4022_693_18472-LF,MDBB COVER ASSY,F1103,Pallet,filled,Yes,Yes
ASM4022_693_29051-LF,HSEC3 BASEFRAME SIDE PROT2,E1002,Legbord,filled,Yes,Yes
ASM4022_693_29091-LF,HSEC3 BOTTOM PLATE,E1102,Legbord,filled,Yes,Yes
ASM4022_693_41173-LF,MDBB5 BOX ASSY,E1004,Legbord,filled,Yes,Yes
ASM4022_693_41203-LF,MDBB6 BOX ASSY,E1005,Legbord,filled,Yes,Yes
ASM4022_693_41243-LF,MDBB7 BOX ASSY,E0502,Legbord,filled,Yes,Yes
ASM4022_693_49403-LF,TDSU TOP PLATE ASSY,F1004,Legbord,filled,Yes,Yes
ASM4022_693_49413-LF,TDSU BOTTOM PLATE ASSY,F0705,Legbord,filled,Yes,Yes
ASM4022_693_57262-LF,MD ASSR1 REAR PLT WLD ASSY,D1703,Legbord,filled,Yes,Yes
ASM4022_693_57282-LF,MD ASSR REAR TOP RIB ASSY,D1303,Legbord,filled,Yes,Yes
ASM4022_693_57302-LF,MD ASSR REAR BTM RIB ASSY,D1403,Legbord,filled,Yes,Yes
ASM4022_693_57322-LF,MD ASSR FNT TOP RIB ASSY,G1203,Legbord,filled,Yes,Yes
ASM4022_693_57342-LF,MD ASSR FNT BTM RIB ASSY,F1203,Legbord,filled,Yes,Yes
ASM4022_693_66271-LF,EXT FRAME W300 D300,EZKE,,,Yes,Yes
ASM4022_693_66414-LF,EXE EL CCFC2 CP1 PLATE,D1104,Legbord,filled,Yes,Yes
ASM4022_693_70473-LF,MGSU1 FRONT PLATE BUSH,D0903,Legbord,filled,Yes,Yes
ASM4022_693_70483-LF,MGSU1 REAR PLATE BUSH,F1405,Legbord,filled,Yes,Yes
ASM4022_693_70991-LF,SR EI HSEC AIR INLET PANEL,E1202,Legbord,filled,Yes,Yes
ASM4022_693_72293-LF,CCSU2 REAR PLATE BUSH,D1303,Legbord,filled,Yes,Yes
ASM4022_693_73221-LF,EXE EL FSM REAR SUPPORT BRKT,D0804,Legbord,filled,Yes,Yes
ASM4022_693_75502-LF,OICC CABINET FRAME,EZKE,,,Yes,Yes
ASM4022_693_79691-LF,THIN CLIENT POWER SUPPLY UNIT,E1202,Legbord,filled,Yes,Yes
ASM4022_693_79722-LF,BESU1 FRONT PLATE BUSH,F1104,Legbord,filled,Yes,Yes
ASM4022_693_79733-LF,BESU1 REAR PLATE BUSH,F2003,Legbord,filled,Yes,Yes
ASM4022_693_82293-LF,BOFC CABINET FRAME,EZKE,,,Yes,Yes
ASM4022_693_82323-LF,ENCLOSURE BOX WELD ASSY,J1901,Pallet,filled,Yes,Yes
ASM4022_693_84302-LF,MD AOIR REAR PLT WLD ASSY,F1504,Legbord,filled,Yes,Yes
ASM4022_693_84342-LF,MD AOIR REAR BTM RIB ASSY,F1604,Legbord,filled,Yes,Yes
ASM4022_693_84361-LF,MD AOIR REAR TOP RIB ASSY,F1704,Legbord,filled,Yes,Yes
ASM4022_693_84541-LF,CAB BOTTOM BLOCK ASSY,H0101,Pallet,filled,Yes,Yes
ASM4022_693_91051-LF,MD AOIR BTM PLT WLD ASSY,F1704,Legbord,filled,Yes,Yes
ASM4022_693_91071-LF,MD AOIR TOP PLT WLD ASSY,F1804,Legbord,filled,Yes,Yes
ASM4022_693_91242-LF,MD ASSR2 REAR PLT WLD ASSY,D1803,Legbord,filled,Yes,Yes
ASM4022_693_91282-LF,MD ASSR3 REAR PLT WLD ASSY,D1903,Legbord,filled,Yes,Yes
ASM4022_693_91322-LF,MD ASSR4 REAR PLT WLD ASSY,D2003,Legbord,filled,Yes,Yes
ASM4022_693_91482-LF,MD ASCR1 REAR PLT WELD ASSY,E0305,Legbord,filled,Yes,Yes
ASM4022_693_91502-LF,MD SCR1 REAR TOP RIB ASSY,E0404,Legbord,filled,Yes,Yes
ASM4022_693_91522-LF,MD SCR1 REAR BTM RIB ASSY,E0405,Legbord,filled,Yes,Yes
ASM4022_693_91542-LF,MD SCR1 FNT TOP RIB ASSY,E0405,Legbord,filled,Yes,Yes
ASM4022_693_93532-LF,TASU FRAME,E1405,Legbord,filled,Yes,Yes
ASM4022_693_93804-LF,DSCR BOTTOM PLATE ASSY,G1801,Pallet,filled,Yes,Yes
ASM4022_693_95042-LF,FTSU FRONT PLATE BUSH,G1202,Legbord,filled,Yes,Yes
ASM4022_693_97772-LF,DSCR TOP PLATE ASSY,D0601,Pallet,filled,Yes,Yes
ASM4022_693_99841-LF,EXE SUBFAB FLOW BTM 126TE ASSY,D0804,Legbord,filled,Yes,Yes
ASM4022_693_99902-LF,MD SCR1 FNT BTM RIB ASSY,E0405,Legbord,filled,Yes,Yes
ASM4022_694_01211-LF,ILSR SIDE WALL 9HE L,F1404,Legbord,filled,Yes,Yes
ASM4022_694_01221-LF,ILSR SIDE WALL 9HE R,F1404,Legbord,filled,Yes,Yes
ASM4022_694_01232-LF,ILSR COVER PLATE,D0304,Legbord,filled,Yes,Yes
ASM4022_694_16323-LF,DCUR SIDE WALL 9HE R,D0603,Legbord,filled,Yes,Yes
ASM4022_694_16731-LF,EXE CARM FLOW PLATE MONO,E1805,Legbord,filled,Yes,Yes
ASM4022_694_16971-LF,SR EI FLOW BLOCKER 1HE ASSY,LZKL,,,Yes,Yes
ASM4022_694_18511-LF,DCUR BOTTOM COVER PLATE,E0204,Legbord,filled,Yes,Yes
ASM4022_694_18653-LF,DCUR SIDE WALL 9HE L,F2103,Legbord,filled,Yes,Yes
ASM4022_694_28821-LF,WPMR BOTTOM PLATE POM,E0903,Legbord,filled,Yes,Yes
ASM4022_694_34331-LF,BOFC ECHAIN LIFT BRKT,E1801,Pallet,filled,Yes,Yes
ASM4022_694_36701-LF,MOU MK2 HOUSING,HZKH,,,Yes,Yes
ASM4022_694_36922-LF,BOFC OICC BUNDLE TOOL BRKT,E1501,Pallet,filled,Yes,Yes
ASM4022_694_37761-LF,MD BOTTOM BP,E0804,Legbord,filled,Yes,Yes
ASM4022_694_41771-LF,MD SCR2 REAR TOP RIB ASSY,E0605,Legbord,filled,Yes,Yes
ASM4022_694_41791-LF,MD SCR2 REAR BTM RIB ASSY,E0605,Legbord,filled,Yes,Yes
ASM4022_694_41811-LF,MD SCR2 FNT TOP RIB ASSY,E0605,Legbord,filled,Yes,Yes
ASM4022_694_41831-LF,MD SCR2 FNT BTM RIB ASSY,E0605,Legbord,filled,Yes,Yes
ASM4022_694_42082-LF,STANDING PLATFORM WELD ASSY,E1502,Legbord,filled,Yes,Yes
ASM4022_694_43721-LF,TOP CONNECTION PLATE 2 IP-SEAL,HZKH,,,Yes,Yes
ASM4022_694_43722-LF,TOP CONNECTION PLATE 2 IP-SEAL,H1401,Pallet,filled,Yes,Yes
ASM4022_694_44911-LF,SHB CBL BRKT WA,E0904,Legbord,filled,Yes,Yes
ASM4022_694_45261-LF,MD CAB SMI CAGE WA,E1004,Legbord,filled,Yes,Yes
ASM4022_694_46953-LF,DOOR BLIND PLATE WA,D1202,Legbord,filled,Yes,Yes
ASM4022_694_47122-LF,FGRB BACKPLATE ASSY,E0005,Legbord,filled,Yes,Yes
ASM4022_694_47312-LF,FRONT TOP HORZ BP WA,E1104,Legbord,filled,Yes,Yes
ASM4022_694_47321-LF,FRONT TOP BLIND PLATE S,D1101,Pallet,filled,Yes,Yes
ASM4022_694_49371-LF,BUSBAR MP SA,E1204,Legbord,filled,Yes,Yes
ASM4022_694_49381-LF,COPPER BUSBAR 15X10 L 635MM,E0604,Legbord,filled,Yes,Yes
ASM4022_694_49951-LF,COPPER BUSBAR 15X10 L 680MM,E0604,Legbord,filled,Yes,Yes
ASM4022_694_51112-LF,AMDC RPS BRACKET R SA,D1301,Pallet,filled,Yes,Yes
ASM4022_694_51431-LF,ASCR CBL BRKT,E1304,Legbord,filled,Yes,Yes
ASM4022_694_51441-LF,TOP CBL BRKT,E1304,Legbord,filled,Yes,Yes
ASM4022_694_52212-LF,RIGHT REAR MP SA,D1401,Pallet,filled,Yes,Yes
ASM4022_694_53361-LF,COPPER BUSBAR 15X10 L 914MM,E0604,Legbord,filled,Yes,Yes
ASM4022_694_53392-LF,SPD BRACKET SA,E1404,Legbord,filled,Yes,Yes
ASM4022_694_53462-LF,LEFT REAR MP SA,D1501,Pallet,filled,Yes,Yes
ASM4022_694_54792-LF,FGRB FRONTPLATE WELD ASSY,E0105,Legbord,filled,Yes,Yes
ASM4022_694_55392-LF,OICC ENCLOSURE BOX WELD ASSY,E1901,Pallet,filled,Yes,Yes
ASM4022_694_58732-LF,EXE MD ODSU REAR PLATE BUSH,E0205,Legbord,filled,Yes,Yes
ASM4022_694_58992-LF,AMDC1 HIP TCP SA,E1804,Legbord,filled,Yes,Yes
ASM4022_694_59042-LF,AMDC1 LIP TCP WA,G1202,Legbord,filled,Yes,Yes
ASM4022_694_59043-LF,AMDC1 LIP TCP WA,E1904,Legbord,filled,Yes,Yes
ASM4022_694_69351-LF,6HE-42TE REDU WELD ASSY,D0904,Legbord,filled,Yes,Yes
ASM4022_694_70651-LF,OICC ECHAIN LIFT BRKT,E2001,Pallet,filled,Yes,Yes
ASM4022_694_77932-LF,FLOW DUCT 342MM PLATE ASSY,G0503,Legbord,filled,Yes,Yes
ASM4022_694_78782-LF,OICC SEISMIC MOUNT BRKT ASSY,E2002,Legbord,empty,Yes,Yes
ASM4022_694_82482-LF,OICC STANDING PLATFORM WELD AS,E1802,Legbord,filled,Yes,Yes
ASM4022_694_84622-LF,ACR BACK PLATE,F0704,Legbord,filled,Yes,Yes
ASM4022_694_88631-LF,GUTTER W40 H1800,LZKL,,,Yes,Yes
ASM4022_697_00693-LF,EXE WSMR BOTTOM PLATE,D1204,Legbord,filled,Yes,Yes
ASM4022_698_02502-LF,EXE EL CCFC2 CP3 PRESS ASSY,F0803,Legbord,filled,Yes,Yes
ASM4022_698_02851-LF,EXE EI GUIDE FRAME,HZKH,,,Yes,Yes
ASM4022_698_03043-LF,REAR PROTECTION ASSY TOP SA,E1604,Legbord,filled,Yes,Yes
ASM4022_698_05171-LF,RH NXE CONTROL CAB DOOR,EZKE,,,Yes,Yes
ASM4022_698_07921-LF,NXE FF EEDR ASSY MK4.1,EZKE,,,Yes,Yes
ASM4022_698_08151-LF,FLOW DUCT 290MM BTM PLATE ASSY,E1902,Legbord,filled,Yes,Yes
ASM4022_698_08182-LF,FLOW DUCT 415MM BTM PLATE ASSY,E2002,Legbord,empty,Yes,Yes
ASM4022_698_12883-LF,FF FB FW EEDR SERC2CP1 CBL,E0703,Legbord,filled,Yes,Yes
ASM4022_698_12903-LF,FF CS FB RW2 EEDR SERC2CP1 CBL,E0903,Legbord,filled,Yes,Yes
ASM4022_698_12913-LF,FF CS FB RW1 EEDR SERC2CP1 CBL,E0703,Legbord,filled,Yes,Yes
ASM4022_698_12923-LF,FF CS RB RW2 EEDR SERC2CP1 CBL,E0603,Legbord,filled,Yes,Yes
ASM4022_698_26341-LF,MDRC TOP CB COVER 1,J0602,Legbord,empty,Yes,Yes
ASM4022_698_26432-LF,BLIND PLATE 126TE 2HE TOP V2,E0704,Legbord,filled,Yes,Yes
ASM4022_698_29023-LF,EL OIMC CP PRESS ASSY,H0802,Legbord,filled,Yes,Yes
ASM4022_698_44962-LF,SHB-BL MK2.0 BOX,J0402,Legbord,filled,Yes,No
ASM4022_698_45022-LF,SHB-BL MK2.0 RIGHT COVER WELD,F1803,Pallet,filled,Yes,Yes
ASM4022_698_48251-LF,NXE SMCB-RH BACK PLATE ASSY,G2002,Legbord,filled,Yes,Yes
ASM4022_698_50283-LF,SIU ENCL TOP PLT ASSY,F1702,Pallet,filled,Yes,Yes
ASM4022_698_50302-LF,MDRC CBBA FRONT COVER ASSY,F2104,Legbord,empty,Yes,Yes
ASM4022_698_50331-LF,MDRC FRONT COVER PLATE MIDDLE,F1605,Legbord,filled,Yes,Yes
ASM4022_698_50352-LF,MDRC CBTA FRONT PLATE ASSY,F1705,Legbord,filled,Yes,Yes
